judul,isi,tanggal,kategori
Jokowi Groundbreaking 2 Investasi Asing di IKN pada 19-20 September,"Presiden Joko Widodo (Jokowi) dijadwalkan melakukan peletakan batu pertama atau groundbreaking proyek ke-8 di IKN Nusantara, Kalimantan Timur, pada 19-20 September 2024. Kepala Presidential Communication Officer (PCO) Hasan Nasbi mengatakan groundbreaking kali ini dilakukan pertama kali untuk investasi asing, yakni dari China dan Australia. ""Nanti tanggal 19 atau tanggal 20 (September) itu akan ada rencana groundbreaking di IKN,"" kata Hasan dalam konferensi pers di Kantor PCO, Jakarta Pusat, Selasa (10/9). Hasan menjelaskan investasi dari China akan bergerak di campuran jasa. Sementara investasi dari Australia dalam sektor pendidikan. Daftar 7 Jenis Kendaraan yang Masih Diizinkan Beli Pertalite Cs ""Ya kalau tidak salah yang dari Cina itu mixed use ya. Itu mungkin ada campuran jasa, ada perhotelan, ada mal, ada perkantoran. Yang Australia kayaknya pendidikan sekolah,"" jelasnya. Hasan mengklaim groundbreaking proyek dari investasi asing itu menunjukkan kepercayaan swasta, termasuk juga pemodal asing untuk berinvestasi di IKN sudah terlihat. Namun, ia meminta publik memahami bahwa proses investasi di IKN bukan proses yang cepat. Investor, menurutnya, harus meneken letter of intent (LOI) dan dilanjutkan dengan Memorandum of Understanding (MoU) investasi untuk menyepakati model investasi yang akan dijalankan. ""Jadi bukan berarti hari ini sudah ada LOI kemudian tiba-tiba besok orang groundbreaking. Kan prosesnya panjang itu,"" ujarnya. [Gambas:Video CNN] (khr/pta)","Selasa, 10 Sep 2024 20:02 WIB",Ekonomi
Amran Copot Direktur Diduga Calo Pengadaan Barang di Kementan,"Menteri Pertanian Andi Amran Sulaiman mencopot seorang direktur berinisial IM yang diduga menjadi calo dalam pengadaan barang dan jasa di Kementerian Pertanian (Kementan). Pegawai Kementan tersebut diduga meminta bayaran atau fee hingga 20 persen dari nilai kontrak kepada pengusaha agar mendapatkan kontrak pengadaan barang dan jasa. Pencopotan dilakukan Amran secara cepat yakni pada pagi hari setelah ia mendapatkan laporan dugaan calo pengadaan itu pada waktu subuh. ""Saya memerintahkan kepada Irjen untuk melaporkan ke aparat penegak hukum terkait berita online, bahwa ada orang (calo/broker) yang menjanjikan kepada calon penyedia untuk memperoleh pengadaan di Kementan harus menyetor 15-20 persen dari nilai kontrak,"" ujar Amran dalam keterangan tertulis, Selasa (10/9). Amran juga memerintahkan Direktur Alat dan Mesin Pertanian (Alsintan) Fausiah T Landja melaporkan ke polisi atas dugaan tindak pidana penipuan atau perbuatan curang UU Nomor 1 Tahun 1946 tentang KUHP. Daftar 7 Jenis Kendaraan yang Masih Diizinkan Beli Pertalite Cs Menurut keterangan Fausiah, ada pihak yang mencatut namanya dan meminta para pengusaha untuk ikut dalam proyek dan diminta menyetor dana awal 15-20 persen kepada pihak broker. Setelah dilaporkan pekan lalu, hari ini pihak kepolisian secara cepat telah melakukan pemanggilan. ""Kami perintah dilaporkan minggu lalu, sekarang sudah ada panggilan,"" ungkap Amran. Amran telah melakukan pembersihan praktik korupsi, kolusi, dan nepotisme (KKN) di lingkungan Kementan sejak menjabat spertama kali sebagai mentan pada 2014 silam. Selama masa kepemimpinannya tersebut, Amran telah melakukan mutasi-demosi pegawai sebanyak 1.479 pegawai, diberikan sanksi 844 pegawai, dan bahkan ada yang dipecat karena melakukan penyelewengan atau korupsi. Bahkan, pernah dalam satu hari, Amran mencopot beberapa pejabat lingkup Kementan, mulai dari dirjen hingga direktur, yang dilakukan sebelum Komisi Pemberantasan Korupsi (KPK) menetapkan mereka sebagai tersangka kasus korupsi. Salah satunya Dirjen Hortikultura IH ditetapkan sebagai tersangka pada 2016 silam atas kasus pengadaan sarana budidaya medukung pengendalian OPT, yang merugikan keuangan negara senilai Rp12,947 miliar. [Gambas:Video CNN] (fby/pta)","Selasa, 10 Sep 2024 19:11 WIB",Ekonomi
Bahlil Bicara Pasokan Listrik di Tengah Rencana 13 PLTU Pensiun Dini,"Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia memastikan pasokan energi dalam negeri tetap terjaga di tengah rencana 13 Pembangkit Listrik Tenaga Uap (PLTU) pensiun dini. Ia menegaskan posisi pemerintah dalam pemanfaatan batubara sebagai sumber energi harus tetap sejalan dengan komitmen kebijakan Net Zero Emission (NZE). Menurutnya, langkah yang akan diambil terkait pemanfaatan batubara dalam pembangkit listrik meliputi pengurangan secara bertahap dan penerapan Clean Coal Technology (CCT) pada pembangkit yang masih beroperasi. ""Seiring dengan upaya Indonesia menuju net zero, kami berkomitmen untuk memastikan keamanan pasokan energi dalam negeri tetap terjaga,"" ujar Bahlil di Acara Coaltrans Asia 2024 di Bali, Senin (9/9), melansir situs resmi Kementerian ESDM. Daftar 7 Jenis Kendaraan yang Masih Diizinkan Beli Pertalite Cs ""Batubara akan tetap memiliki perannya sesuai dengan bauran energi kita. Namun menuju net zero akan didukung oleh kebijakan, investasi, dan teknologi PLTU ramah lingkungan,"" imbuhnya. Terkait dengan kebijakan PLTU, pemerintah saat ini tengah menyusun peta jalan pemensiunan dini PLTU berdasakan Peraturan Presiden (Perpres) 112 Tahun 2022 tentang Percepatan Pengembangan Energi Terbarukan untuk Penyediaan Tenaga Listrik. Sebanyak 13 PLTU direncanakan akan dipensiunkan secara dini secara bertahap dengan mempertimbangkan perekonomian serta tidak menimbulkan gejolak kekurangan pasokan dan kenaikan harga listrik. Sedangkan untuk PLTU yang beroperasi akan diterapkan teknologi CCT, antara lain dengan mengimplementasikan teknologi supercritical dan ultra-supercritical. Kini, terdapat tujuh PLTU batubara yang telah beroperasi menggunakan teknologi supercritical dan ultra supercritical dengan total kapasitas 5.4555 megawatt (MW) yaitu PLTU Cirebon (660 MW), PLTU Paiton 3 (815 MW) PLTU Cilacap 3 (660 MW), PLTU Adipala (660 MW), PLTU Banten/LBE 1 (660 MW) PLTU Jawa 7 Unit 1 (1.000 MW) dan PLTU Jawa 8 (1.000 MW). Pemerintah juga berencana untuk mengembangkan PLTU barubara dengan menggunakan teknologi boiler ultra-supercritical pada sembilan lokasi di Pulau Jawa dengan total kapasitas sebesar 10.130 MW hingga 2028 atau sebesar 37,43 persen dari total perencanaan PLTU batubara. Selain mendorong PLTU menggunakan teknologi ramah lingkungan seperti CCT, Kementerian ESDM juga mendorong pelaksanaan cofiring atau pencampuran bahan bakar PLTU batubara dengan biomassa. Apalagi, Indonesia memiliki potensi besar dalam pengembangan sumber energi tersebut lantaran memiliki perkebunan sawit yang dapat diolah menjadi biomassa. Strategi ini terbukti dapat mengurangi emosi yang dihasilkan oleh PLTU. Saat ini hampir 60 persen atau sekitar 91 gigawatt (GW) pembangkit listrik Indonesia berasal dari batubara. Oleh sebab itu, pemerintah menyadari bahwa pengurangan penggunaan batubara sebagai sumber energi utama di Indonesia perlu dilakukan dengan penuh kehati-hatian. [Gambas:Video CNN] (del/pta)","Selasa, 10 Sep 2024 18:32 WIB",Ekonomi
Pertamina Kaji Ubah Minyak Jelantah Jadi Avtur,"PT Pertamina (Persero) mengkaji pengembangan bahan bakar pesawat atau avtur yang berasal dari minyak goreng bekas atau jelantah (used cooking oil). SVP of Business Development Pertamina Wisnu Medan Santoso mengatakan pihaknya masih mengkaji alternatif cara mengumpulkan minyak jelantah dari masyarakat, termasuk mengumpulkannya di SPBU. ""Sampai saat ini ada beberapa alternatif yang kami pikirkan, kira-kira memanfaatkan jaringan SPBU kita yang ada banyak di Indonesia. Itu bisa kita manfaatkan sebagai sarana pengumpulan,"" katanya dalam media briefing di Sarinah, Jakarta Pusat, Selasa (10/9). Kendati demikian, Wisnu mengatakan rencana mengembangkan bahan bakar dari minyak jelantah masih dalam tahap pembahasan. Begitu juga, dengan cara pengumpulan minyak jelantahnya masih belum diputuskan. Daftar 7 Jenis Kendaraan yang Masih Diizinkan Beli Pertalite Cs ""Ini masih diskusi karena kita kan punya SPBU dan agen-agen yang cukup banyak di seluruh Indonesia. Kita lagi diskusi bagaimana kita mengutilisasi ini untuk menjadi tempat-tempat pengumpulan (minyak jelantah),"" katanya. ""Terus terang masih belum form. Kita masih eksplorasi, masih brainstorming saja,"" imbuhnya. Rencana produksi avtur dari minyak jelantah sebelumnya disampaikan oleh Menteri Koordinator Kemaritiman dan Investasi (Menko Marves) Luhut Binsar Pandjaitan. ""Pernahkah terpikirkan bahwa minyak jelantah atau used cooking oil dapat menjadi bahan bakar untuk industri aviasi atau penerbangan? Hal ini ternyata sudah lumrah dilakukan di beberapa negara tetangga kita, seperti Malaysia dan Singapura,"" ujar Luhut dalam akun resmi Instagram @luhut.pandjaitan, Rabu (29/5). Luhut pun turun tangan dengan memimpin Rapat Rancangan Peta Jalan dan Rencana Aksi Nasional Pengembangan Industri Sustainable Aviation Fuel (SAF) di Indonesia. ANALISIS Segudang 'Bencana' Mengintai Jika Subsidi KRL Diubah Berbasis NIK SAF merupakan bahan bakar pesawat yang lebih ramah lingkungan yang dibuat dari campuran bahan bakar jet konvensional dan bahan pencampur berkelanjutan. Ada tujuh sumber utama bahan baku SAF, termasuk minyak goreng bekas. Menurut Luhut, pengembangan industri SAF penting karena Indonesia diprediksi akan menjadi pasar aviasi terbesar keempat di dunia dalam beberapa dekade ke depan dengan asumsi kebutuhan bahan bakar mencapai 7.500 ton liter hingga 2030. Apalagi,Pertamina juga sudah melakukan uji coba statis SAF untuk digunakan pada mesin jet CFM56-7B. ""Hal ini membuktikan bahwa produk mereka layak digunakan pada pesawat komersil,"" katanya. [Gambas:Video CNN] (fby/agt)","Selasa, 10 Sep 2024 17:43 WIB",Ekonomi
"Dukung PMI, Bank Mandiri Perluas Akses Livin' Sampai ke Turki","Bank Mandiri menghadirkan program Livin' Around The World (LATW) guna memudahkan Warga Negara Indonesia (WNI) dalam mengakses layanan perbankan dari lebih 120 negara. Dalam proyek ini, Bank Mandiri berkolaborasi dengan Kedutaan Besar Republik Indonesia (KBRI) di Ankara, Turki. Direktur Jaringan dan Retail Banking Bank Mandiri, Aquarius Rudianto menyatakan, kehadiran Livin' by Mandiri yang adaptif dan solutif merupakan bagian kerja sama dengan Kementerian Luar Negeri (Kemenlu). Saat ini, Bank Mandiri menjadi salah satu bank mitra Kemenlu untuk memfasilitasi pembuatan rekening menggunakan Kartu Masyarakat Indonesia di Luar Negeri (KMILN). ""Kami menyadari diaspora Indonesia, khususnya Pekerja Migran Indonesia (PMI) membutuhkan akses yang lebih mudah dan terjamin terhadap layanan perbankan. Melalui kerja sama dengan KBRI Ankara, kami berupaya memberikan solusi tersebut di Livin' by Mandiri lewat program Livin' Around The World,"" kata Aquarius di Jakarta, Selasa (10/9). Menurut Aquarius, proyek bersama KBRI Ankara ini sekaligus menjadi batu lompatan bersama Kemenlu, di mana Bank Mandiri dapat membukakan rekening bagi diaspora WNI dan WNA menggunakan passpor dan KMILN. Selain itu, dengan semangat memperkuat kolaborasi internasional, Bank Mandiri juga membuka kerja sama terkait penerbitan Golden Visa untuk para Warga Negara Asing (WNA) ex-WNI atau WNA yang ingin menetap di Indonesia selama 5 hingga 10 tahun. Aquarius menambahkan, kolaborasi dengan KBRI Ankara ini memungkinkan Bank Mandiri memperkenalkan Livin' Around The World kepada diaspora Indonesia di Turki. Tak hanya membuka rekening Bank Mandiri menggunakan e-KTP atau menggunakan paspor dan KMILN, kini hanya diperlukan nomor ponsel setempat untuk mengakses berbagai layanan perbankan. ""Dengan adanya inisiatif ini, kami berharap dapat meningkatkan koneksi antara diaspora dengan Tanah Air sehingga mereka tetap memiliki akses terhadap layanan keuangan dalam negeri, termasuk produk tabungan, pinjaman, investasi, dan layanan lifestyle yang ada di Livin' by Mandiri,"" lanjut Aquarius. Selain itu, Bank Mandiri juga berkomitmen terus mengadakan solusi perbankan terbaik bagi diaspora Indonesia, antara lain lewat fitur Solusi Valas di Livin' by Mandiri, yang memberi kemudahan bagi diaspora Indonesia di luar negeri, mencakup pembukaan tabungan multi-currency dengan 11 pilihan mata uang asing, Tap to Pay, transfer valas real-time dengan kurs yang kompetitif, serta transaksi di luar negeri tanpa biaya konversi. Adapun langkah lain Bank Mandiri adalah berencana meluncurkan berbagai fitur baru untuk melengkapi pengalaman bertransaksi, baik di dalam maupun di luar negeri. Bank Mandiri juga menggelar program Mandiri Sahabatku untuk mendorong minat wirausaha para PMI yang berada di Turki. ""Di sisa tahun ini, kami akan meluncurkan beberapa fitur tambahan yang akan memberikan kemudahan lebih lanjut bagi nasabah. Pengembangan fitur ini melibatkan kerjasama dengan anak perusahaan serta mitra strategis lainnya untuk mengembangkan fitur seperti personalisasi, pemanfaatan Artificial Intelligence dan big data, sejalan dengan semangat kami menjadikan Livin' sebagai beyond superapp,"" papar Aquarius. Sejak diluncurkan pada Oktober 2021, Livin' by Mandiri menunjukkan pertumbuhan yang mengesankan. Hingga Juli 2024, aplikasi ini menembus 26,5 juta pengguna, naik 34 persen secara year-on-year (YoY). Dari jumlah tersebut, total nilai transaksi yang didapat mencapai Rp2,235 triliun dengan volume transaksi sebesar Rp2,1 miliar transaksi secara year-to-date (ytd). Sementara, transaksi valas melalui Livin' by Mandiri turut menunjukkan kenaikan signifikan. Hingga akhir kuartal II/2024, volume transaksi valas di aplikasi ini melonjak 196,5 persen secara YoY dengan tren yang diprediksi semakin positif dibandingkan tahun sebelumnya. (rea/rir) [Gambas:Video CNN]","Selasa, 10 Sep 2024 17:18 WIB",Ekonomi
Pengamat Ingatkan Pertamina dan PLN Hati-hati Beralih ke Energi Hijau,"Pengamat Energi Komaidi Notonegoro meminta PT Pertamina (Persero) berhati-hati saat bisnisnya beralih ke energi bersih terbarukan (EBT). Pasalnya, pendapatan Pertamina mayoritas masih berasal dari bisnis fosil. ""Kalau dilihat streaming pendapatan Pertamina, EBT saat ini hanya di panas bumi, uap, dan listrik. Kalau dihitung dari 2019-2023 itu hanya 0,7-1,1 persen. Artinya 98-99 persen pendapatan Pertamina masih dari fosil,"" katanya dalam media briefing di Sarinah, Jakarta Pusat, Selasa (10/9) ""Kalau didorong untuk jumping ke EBT, agak susah,"" imbuhnya. Daftar 7 Jenis Kendaraan yang Masih Diizinkan Beli Pertalite Cs Tak hanya Pertamina, Komaidi juga mengingatkan PLN berhati-hati dalam beralih ke EBT. Sebab, komposisi bauran energi pembangkit listrik PLN sebesar 61 persen atau mayoritas masih berbasis batu bara. Kemudian disusul gas alam (24,4 persen), BBM (5,9 persen), air (5,8 persen), dan panas bumi (2, 3 persen). ""Artinya kalau mereka (PLN) akan didorong ke EBT akan ada risiko keuangan. Ini juga yang harus diperhatikan,"" katanya. Ia mengatakan jika pendapatan Pertamina dan PLN terganggu maka akan berpengaruh juga ke dividen yang disetorkan kepada negara. PLN dan Pertamina masuk dalam 20 BUMN yang memberikan setoran dividen terbesar ke negara dengan total Rp85,5 triliun pada tahun ini. ""Dividen tahun ini adalah yang terbesar, itu semua dihasilkan dari fosil. Apakah itu semua bisa dipertahankan ketika geser ke EBT masih tanda tanya,"" katanya. Dalam kesempatan yang sama, SVP of Business Development Pertamina Wisnu Medan mengatakan pihaknya telah menyusun peta jalan untuk mendukung tercapainya net zero emission (NZE) pada 2026 melalui dua pilar. Pertama, melakukan dekarbonisasi bisnis Pertamina yang saat ini sudah ada. ""Jadi cara kita menghasilkan produk dan jasa dari bisnis kita yang sudah existing, footprint carbonnya dikurangi,"" katanya. Kemudian pilar kedua adalah membangun bisnis baru yang jejak karbonnnya lebih rendah. Sehingga perlahan bisnis yang saat ini mayoritas energi fosil bisa di diversifikasi menjadi energi hijau. [Gambas:Video CNN] (fby/pta)","Selasa, 10 Sep 2024 17:12 WIB",Ekonomi
Transjakarta Perpanjang Jam Layanan Dua Rute Saat Konser Bruno Mars,"Transjakarta memperpanjang jam operasional layanan bus saat konser Bruno Mars di Jakarta International Stadium (JIS) pada 11, 13, dan 14 September 2024. Kepala Departemen Hubungan Masyarakat dan CSR Transjakarta Ayu Wardhani mengatakan akan ada dua rute bus yang jam operasionalnya diperpanjang, yakni koridor 14 (JIS - Senen) dan Rute 14A (Juanda - JIS). Kedua layanan tersebut bisa dimanfaatkan oleh masyarakat yang ingin menonton konser di JIS maupun setelah konser selesai. ""Kedua layanan ini akan melayani pelanggan lebih lama, yakni hingga pukul 00.00 WIB untuk layanan reguler. Sehingga pelanggan tidak perlu khawatir, untuk akses transportasi baik menuju lokasi acara maupun saat kembali ke rumah masing-masing meski larut malam,"" ujar Ayu dalam keterangan tertulis, Selasa (10/9). Selain perpanjangan layanan, sambung Ayu, masyarakat yang ingin berkegiatan di sekitar lokasi konser juga bisa memanfaatkan layanan Angkutan Malam Hari (AMARI) yang beroperasi normal mulai pukul 22.00 - 05.00 WIB di 14 koridor utama. Daftar 7 Jenis Kendaraan yang Masih Diizinkan Beli Pertalite Cs Perpanjangan layanan serta layanan Amari yang tersedia diharapkan bisa memudahkan mobilitas pelanggan dengan mudah, aman dan nyaman. ""Kami mengimbau masyarakat yang ingin menonton konser menggunakan transportasi publik yang melintas di lokasi acara, khususnya layanan Transjakarta. Sehingga tidak perlu repot mencari lokasi parkir, dan berkontribusi mengurangi kemacetan serta ikut mendukung Net Zero Emission,"" imbuhnya. Bruno Mars akan menggelar konser sebanyak tiga kali di Indonesia pada pekan ini di JIS pada 11, 13, dan 14 September 2024. Konser Bruno Mars Live in Jakarta ini menjadi ajang comeback solois tersebut di Indonesia setelah absen sekitar satu dekade. Ia terakhir kali mengadakan konser solo di Indonesia saat The Moonshine Jungle Tour pada 2014. Pada saat itu, Bruno Mars menyambangi Jakarta untuk konser di MEIS Ancol pada 24 Maret 2014. [Gambas:Video CNN] (fby/agt)","Selasa, 10 Sep 2024 16:46 WIB",Ekonomi
"IHSG Ditutup Menguat ke 7.761, Sektor Teknologi Tancap Gas","Indeks harga saham gabungan (IHSG) ditutup di level 7.761 pada Selasa (10/9) sore. Indeks saham menguat 58,6 poin atau naik 0,76 persen dari perdagangan sebelumnya. Mengutip RTI Infokom, investor melakukan transaksi sebesar Rp10,8 triliun dengan jumlah saham yang diperdagangkan sebanyak 23,07 miliar saham. Pada penutupan kali ini, 306 saham menguat, 276 terkoreksi, dan 215 lainnya stagnan. Terpantau, 10 dari 11 indeks sektoral menguat, dipimpin oleh sektor teknologi, yakni naik 2,21 persen. TKN Sebut Prabowo Siapkan Badan Baru, Tak Bisa 'Disentuh' KPK-BPK Beralih ke asing, bursa saham Asia bergerak kompak di zona merah. Tercatat Nikkei 225 di Jepang melemah 0,16 persen, indeks Hang Seng Composite di Hong Kong minus 0,01 persen, dan indeks Kospi Korea Selatan melemah 0,50 persen. Bursa saham Eropa bergerak bervariasi. Terpantau indeks FTSE 100 di Inggris melemah 0,45 persen, indeks DAX di Jerman turun 0,02 persen, dan indeks CAC 40 di Prancis naik 0,44 persen. Sedangkan, bursa saham AS kompak berada di zona hijau. Indeks S&P 500 menguat 1,16 persen, indeks NYSE Composite naik 1,05 persen, dan indeks NASDAQ Composite menguat 1,16 persen. [Gambas:Video CNN] (ldy/pta)","Selasa, 10 Sep 2024 16:25 WIB",Ekonomi
"Rupiah Menguat Tipis ke Rp15.455, Tertolong Data Ekonomi China","Nilai tukar rupiah berada di level Rp15.455 per dolar AS pada Selasa (10/9) sore. Mata uang Garuda menguat 1 poin atau 0,01 persen dari perdagangan sebelumnya. Sementara, kurs referensi Bank Indonesia (BI), Jakarta Interbank Spot Dollar Rate (Jisdor) menempatkan rupiah di posisi Rp15.447 per dolar AS. Mata uang di kawasan Asia bergerak bervariasi. Yen Jepang melemah 0,25 persen, baht Thailand menguat 0,18 persen, yuan China melemah 0,10 persen, peso Filipina menguat 0,10 persen, dan won Korea Selatan melemah 0,28 persen. Dolar Singapura juga melemah 0,03 persen dan dolar Hong Kong terpantau stagnan pada penutupan perdagangan sore ini. TKN Sebut Prabowo Siapkan Badan Baru, Tak Bisa 'Disentuh' KPK-BPK Sementara, mayoritas mata uang utama negara maju berada di zona hijau. Tercatat euro Eropa menguat 0,03 persen, poundsterling Inggris menguat 0,09 persen, dan franc Swiss menguat 0,09 persen. Sedangkan, dolar Australia melemah 0,05 persen, dan dolar Kanada juga melemah 0,11 persen. Analis Pasar Lukman Leong mengatakan penguatan rupiah yang sangat tipis ditopang oleh data perekonomian China yang menguat. ""Rupiah ditutup hampir datar, menguat tipis di bawah tekanan dolar AS yang masih melanjutkan rebound. Data perdagangan China yang lebih kuat dan penjualan ritel Indonesia yang lebih tinggi dari perkiraan sanggup membendung penguatan dolar AS,"" ujar Lukman kepada CNNIndonesia.com. (ldy/pta)","Selasa, 10 Sep 2024 16:08 WIB",Ekonomi
Omzet Klaster Usaha Telur Asin Abinisa Meroket Berkat Pemberdayaan BRI,"Desa Sujung di Kabupaten Serang terkenal dengan produk telur asinnya yang khas. Di balik popularitas telur asin tersebut, ada kisah sukses dari sebuah inisiatif yang bernama Klaster Asin Abinisa di Desa Sujung. Berdiri sejak 2018, Klaster Telur Asin Abinisa telah membawa perubahan signifikan di Desa Sujung. Antara lain, berhasil meningkatkan kapasitas usaha masyarakat dan memperkuat kerja sama antar pelaku usaha. Kemudian, berkat klaster ini para pembuat telur asin kini dapat memproduksi produk dengan kualitas yang lebih baik dan jumlah yang lebih banyak. Tidak hanya itu, mereka juga memiliki akses pasar yang lebih luas, baik lokal maupun nasional. Hal ini tentu saja berdampak positif pada peningkatan pendapatan dan kesejahteraan masyarakat Desa Sujung. Seiring berjalannya waktu, Klaster Telur Asin Abinisa juga memperluas portofolio produknya. Tidak hanya terbatas pada telur asin, klaster ini mulai memproduksi egg roll, salted egg, dan telur asin omega. Inovasi produk ini membantu klaster menembus pasar yang lebih luas dan beragam. Saat ini, mayoritas penjualan produk dipasarkan secara online melalui berbagai platform e-commerce. Berkat keberhasilan yang telah dicapai, Klaster Usaha Desa Sujung berhasil diundang oleh BRI dalam acara Brilian Indepence Week 2024 yang diselenggarakan di Kantor Pusat BRI, Jakarta Pusat. Pemilik UMKM Abinisa, Susi Rahmawati mengatakan, kunci kesuksesannya adalah konsisten dalam menjaga kualitas produk. Salah satunya penggunaan kepala udang sebagai pakan bebek yang merupakan inovasi dan membedakan produk yang diproduksi dengan produk sejenis. Saat ini omzet Klaster Usaha Telur Asin Abinisa terus meningkat. Bahan dalam sebulan omzet mereka bisa mencapai ratusan juta rupiah. ""Tantangan bagi usaha kami adalah ketersediaan bahan baku kepala udang. Kami mendapatkan pasokan kepala udang dari supplier, namun terkadang terjadi keterlambatan pengiriman dapat mengganggu produksi,"" ujar Susi. Dalam kesempatan ini, Susi menyampaikan selain kualitas produk, kesuksesan ini bisa diraih juga berkat dukungan dan pendampingan dari BRI. Sebab, selain dukungan finansial, kata Susi, BRI juga memberikan pelatihan-pelatihan yang sangat bermanfaat bagi pengembangan usaha Klaster Telur Asin Abinisa. Seperti pelatihan pemasaran digital dan pengembangan produk. ""BRI sering memberikan arahan atau pendampingan untuk UMKM kelompok kami,"" imbuh Susi. Adapun pemberdayaan Klaster Usaha sendiri merupakan pemberdayaan kepada kelompok usaha yang terbentuk berdasarkan kesamaan usaha dalam satu wilayah, sehingga tercipta keakraban dan kebersamaan dalam peningkatan maupun pengembangan usaha para anggotanya. Hingga akhir Juli 2024 tercatat BRI telah memiliki 31.488 klaster usaha yang tergabung dalam program Klasterku Hidupku. BRI juga telah menyelenggarakan 2.184 pelatihan dalam program Klasterku Hidupku tersebut. Pada kesempatan terpisah, Direktur Bisnis Mikro BRI Supari mengungkapkan bahwa program Klasterku Hidupku merupakan salah satu bentuk strategi yang mengutamakan pemberdayaan. ""Secara umum, strategi bisnis mikro BRI di 2024 akan fokus pada pemberdayaan berada di depan pembiayaan. BRI sebagai bank yang berkomitmen kepada pelaku UMKM telah memiliki kerangka pemberdayaan yang dimulai dari fase dasar, integrasi, hingga interkoneksi,"" ungkap Supari. (inh)","Selasa, 10 Sep 2024 15:45 WIB",Ekonomi
